    Time  Press    Temp     Rh    Alt  Speed    Dir   Batt  P.Temp  Dew   S.H.   M.R.     Et    Ozone O3Curr O3Temp   AD1    AD2    AD3    AD4    AD5    AD6
            hPa      °C     %      m    mps    deg      v     °C     °C          g/kg      s      ppb     µA     °C     v      v      v      v      v      v 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
01:32:36 869.78   18.5   25.0   1313    1.5    195    8.5    30.3  -1.9   0.79   3.75  114.5     0.00   0.00    0.0  0.000  0.086  0.015  0.000  0.000  0.025
01:32:44 869.28   18.2   25.9   1318    1.4    192    8.5    30.1  -1.6   0.79   3.85  122.5     0.00   0.00    0.0  0.000  0.086  0.015  0.000  0.000  0.025
01:32:46 869.30   18.6   26.1   1318    1.4    205    8.5    30.5  -1.2   0.80   3.99  124.5     0.00   0.00    0.0  0.000  0.086  0.015  0.000  0.000  0.025
01:32:47 869.32   18.4   25.6   1317    1.5    197    8.5    30.3  -1.6   0.79   3.84  125.5     0.00   0.00    0.0  0.000  0.086  0.015  0.000  0.000  0.025
01:32:49 869.32   18.4   25.5   1317    1.5    191    8.5    30.4  -1.6   0.79   3.84  127.5     0.00   0.00    0.0  0.000  0.086  0.015  0.000  0.000  0.025
01:32:52 868.71   18.4   25.6   1323    1.4    181    8.5    30.3  -1.6   0.79   3.84  130.5     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:32:53 868.79   18.3   25.6   1323    1.4    178    8.5    30.2  -1.8   0.79   3.80  131.5     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:32:54 869.04   18.4   25.4   1320    1.4    177    8.5    30.3  -1.7   0.79   3.81  132.5     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:32:56 869.10   18.3   25.5   1320    1.3    172    8.5    30.2  -1.8   0.79   3.80  134.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:32:57 868.88   18.2   25.5   1322    1.2    175    8.5    30.2  -1.8   0.79   3.80  135.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:32:58 868.71   18.1   25.6   1323    1.2    181    8.5    30.0  -1.9   0.79   3.75  136.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:32:59 868.85   18.0   25.6   1322    1.2    190    8.5    30.0  -1.9   0.79   3.76  137.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:33:00 868.65   18.1   25.7   1324    1.2    199    8.5    30.0  -1.9   0.79   3.77  138.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:33:01 868.51   18.1   25.7   1325    1.2    203    8.5    30.1  -1.8   0.79   3.78  139.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:33:02 868.58   18.2   25.8   1325    1.2    200    8.5    30.2  -1.7   0.79   3.82  140.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:33:03 868.52   18.2   25.9   1325    1.2    193    8.5    30.1  -1.7   0.79   3.83  141.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:33:05 868.60   18.3   25.9   1324    1.2    182    8.5    30.3  -1.5   0.80   3.88  143.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:33:06 868.50   18.3   25.8   1325    1.2    180    8.5    30.3  -1.6   0.79   3.86  144.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:33:07 868.32   18.2   25.8   1327    1.4    181    8.5    30.2  -1.7   0.79   3.83  145.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:33:08 868.22   18.1   25.8   1328    1.5    181    8.5    30.1  -1.8   0.79   3.80  146.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:33:09 868.11   18.1   25.8   1329    1.5    182    8.5    30.1  -1.8   0.79   3.79  147.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:33:10 868.18   18.0   25.9   1329    1.6    188    8.5    30.0  -1.8   0.79   3.79  148.4     0.00   0.00    0.0  0.000  0.085  0.015  0.000  0.000  0.025
01:33:11 868.18   18.2   25.8   1329    1.7    189    8.5    30.2  -1.7   0.79   3.81  149.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.025
01:33:13 868.01   18.3   25.8   1330    1.6    188    8.5    30.3  -1.6   0.79   3.86  151.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.025
01:33:14 868.19   18.2   25.7   1329    1.6    189    8.5    30.2  -1.8   0.79   3.80  152.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.025
01:33:15 868.03   18.2   25.7   1330    1.6    190    8.5    30.2  -1.7   0.79   3.82  153.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.025
01:33:16 868.00   18.2   25.6   1330    1.7    192    8.5    30.2  -1.8   0.79   3.81  154.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.025
01:33:17 867.88   18.2   25.7   1332    1.7    195    8.5    30.2  -1.8   0.79   3.81  155.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.025
01:33:18 867.98   18.2   25.6   1331    1.7    196    8.5    30.3  -1.7   0.79   3.81  156.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.025
01:33:22 867.61   18.2   26.0   1334    1.4    186    8.5    30.2  -1.6   0.79   3.86  160.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.025
01:33:23 867.55   18.1   26.0   1335    1.5    184    8.5    30.1  -1.7   0.79   3.83  161.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.025
01:33:24 867.52   18.0   26.0   1335    1.6    185    8.5    30.0  -1.8   0.79   3.80  162.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.025
01:33:26 867.65   18.1   26.2   1334    1.6    179    8.5    30.2  -1.5   0.80   3.89  164.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.025
01:33:27 867.64   18.2   26.1   1334    1.7    176    8.5    30.2  -1.5   0.80   3.88  165.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.024
01:33:28 867.69   18.1   26.2   1333    1.7    177    8.5    30.2  -1.5   0.79   3.88  166.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.024
01:33:30 867.29   18.2   26.4   1337    1.7    175    8.5    30.3  -1.4   0.80   3.93  168.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.024
