         Alt       Press        Temp          Rh       Speed        Batt       PTemp         Dew          SH          MR          Et       Ozone      O3Curr      O3Temp         AD1         AD2         AD3         AD4         AD5         AD6    Dir_mode
        1357      866.45       17.15       31.00        5.85        8.20       29.30       -0.10        0.81        4.38      538.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      315.50
        1358      866.37       17.07       30.77        5.73        8.20       29.23       -0.27        0.81        4.32      535.83        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      305.20
        1359      866.24       16.96       30.94        5.98        8.20       29.14       -0.28        0.81        4.32      541.90        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      306.30
        1360      866.15       16.97       31.13        6.37        8.20       29.17       -0.20        0.81        4.35      547.17        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      326.34
        1361      866.03       16.83       31.17        6.33        8.20       29.00       -0.27        0.81        4.31      555.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      305.06
        1362      865.98       16.88       31.18        6.28        8.20       29.08       -0.22        0.81        4.34      555.25        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      312.50
        1363      865.89       16.80       31.30        6.10        8.20       29.00       -0.20        0.81        4.35      560.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      327.00
        1364      865.75       17.03       31.43        6.40        8.20       29.23        0.00        0.82        4.42      565.47        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      303.29
        1365      865.63       16.95       31.35        6.15        8.20       29.15       -0.10        0.81        4.38      565.95        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      326.50
        1367      865.45       16.95       31.35        6.90        8.20       29.20       -0.10        0.81        4.39      571.40        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      335.00
        1368      865.36       16.90       31.20        5.00        8.20       29.10       -0.20        0.81        4.34      575.40        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      273.00
        1370      865.14       16.70       31.27        4.87        8.20       28.98       -0.33        0.81        4.29      581.73        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      292.82
        1371      865.04       16.70       31.30        4.66        8.20       28.94       -0.38        0.81        4.29      583.60        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      304.01
        1372      864.96       16.67       31.38        5.35        8.20       28.92       -0.35        0.81        4.29      591.40        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      295.25
        1373      864.83       16.70       31.50        5.20        8.20       29.00       -0.30        0.81        4.32      601.40        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      288.00
        1374      864.73       16.70       31.40        5.40        8.20       29.00       -0.30        0.81        4.32      594.90        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      299.00
        1376      864.53       16.60       31.50        5.00        8.20       28.92       -0.30        0.81        4.31      604.65        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      285.75
        1377      864.42       16.62       31.52        5.02        8.20       28.98       -0.30        0.81        4.32      606.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      292.15
        1378      864.33       16.65       31.50        4.60        8.20       29.00       -0.30        0.81        4.32      612.90        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      289.25
        1379      864.26       16.60       31.60        4.70        8.20       29.00       -0.30        0.81        4.33      618.90        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      296.50
        1380      864.13       16.67       31.60        4.97        8.20       29.00       -0.23        0.81        4.34      622.07        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      299.65
        1381      863.98       16.60       31.60        4.80        8.20       29.00       -0.30        0.81        4.33      622.40        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      297.00
        1382      863.95       16.60       31.60        4.57        8.20       29.00       -0.27        0.81        4.33      627.07        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      306.03
        1384      863.72       16.60       31.60        4.55        8.20       29.00       -0.30        0.81        4.33      628.90        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      302.50
        1385      863.61       16.60       31.50        4.40        8.20       29.00       -0.40        0.81        4.30      635.40        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      319.00
        1386      863.52       16.70       31.80        3.70        8.10       29.10       -0.10        0.81        4.38      641.90        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      280.00
        1387      863.43       16.65       31.83        4.00        8.15       29.07       -0.18        0.81        4.37      639.07        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      305.37
        1388      863.30       16.70       31.90        4.20        8.20       29.10       -0.10        0.82        4.41      637.40        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      266.00
        1389      863.22       16.65       31.72        3.72        8.10       29.08       -0.20        0.81        4.36      648.40        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      297.02
        1390      863.10       16.55       31.55        4.10        8.10       29.00       -0.35        0.81        4.30      656.90        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      295.00
