jday_sn4,hour_sn4,minx_sn4,wsp_sn4,truewdir_sn4,Tsm_sn4,wu_cov_sn4,wv_cov_sn4,uv_cov_sn4,wT_cov_sn4,uT_cov_sn4,vT_cov_sn4,sigu_cov_sn4,sigv_cov_sn4,sigw_cov_sn4,sigT_cov_sn4
276,2,40,1.0609399,286.60578,22.499675,0.058619243,-0.072180311,-0.024187099,-0.0036316758,-0.00550981,0.01000894,0.42953087,0.36816524,0.37563425,0.1912789
276,2,45,1.2405695,287.10269,22.472671,0.011964976,-0.0036208838,-0.006117699,-0.00668745,-0.0083045719,0.0059423779,0.25945616,0.21861852,0.15821303,0.14121598
276,2,50,2.3022828,286.23526,22.320839,0.0045913759,-2.1547167e-05,-0.011410362,-0.0021462761,0.0077231992,-0.015355498,0.2468287,0.16481783,0.10706574,0.20992348
276,2,55,1.653138,282.85926,21.871862,0.012443377,-0.0041490572,-0.013656175,-0.014937244,-0.040546914,0.016899243,0.2852904,0.22675862,0.16323344,0.36290226
276,3,0,1.9013729,294.025,21.943241,0.033482907,0.0080806843,-0.01160819,-0.0121162,-0.048425517,0.0027075909,0.48042479,0.30867206,0.22589257,0.21536893
276,3,5,1.7221037,287.31705,22.279589,0.015116339,-0.017637505,0.036209429,-0.0043088335,-0.057731517,-0.015097598,0.40060093,0.28714917,0.20307973,0.35549754
276,3,10,1.4149164,280.62864,22.351508,0.022991282,-0.0074832464,-0.01996972,-0.0094133274,-0.040007124,-0.0073185789,0.42368049,0.27962417,0.21544116,0.19407286
276,3,15,1.361959,279.63509,21.888461,0.017306122,0.001035154,-0.0051588654,-0.012564666,-0.048484406,-0.015100145,0.28391404,0.15052122,0.12548714,0.34358174
276,3,20,2.2983231,291.90894,21.719494,0.0019016654,-0.0020989076,0.0080643535,-0.0045275439,-0.027584776,-0.011773146,0.1902355,0.15768431,0.11262255,0.25685716
276,3,25,2.3845301,284.42326,21.755962,-0.0014563757,0.0057251154,-0.0058109488,-0.0049405022,-0.0064743275,-0.0038195588,0.18484202,0.16267131,0.12624549,0.21706878
276,3,30,1.9246693,275.35919,22.234276,0.00095334144,0.00605826,-0.0033085333,-0.0041004398,0.0055801389,0.005915011,0.1984371,0.17623218,0.14546249,0.21064392
276,3,35,1.4778168,274.301,22.287116,0.0022901604,0.0053502314,-0.0056527861,0.0021861532,0.0036886402,0.0059242133,0.1754706,0.15638049,0.10425223,0.18376264
276,3,40,1.2877591,285.02433,21.679966,0.0055047221,0.0033835732,-0.019637972,-0.0060487866,-0.013398821,0.0044118049,0.23121619,0.21894839,0.12066396,0.19873402
276,3,45,1.9631662,289.13108,21.922427,-0.0010434289,0.0019530024,-0.012446382,-0.0016960559,-0.023500118,0.004903477,0.20767407,0.1938442,0.13596125,0.24103153
276,3,50,1.9932175,289.65339,21.973427,0.0025329005,-0.0013420561,0.0039200724,-0.00097831145,-0.018321932,-0.017994717,0.14388748,0.14190525,0.097696041,0.30110532
276,3,55,1.616478,289.33484,21.839763,0.011798501,0.0032755787,-0.019807836,-0.017297076,-0.13428751,0.042337885,0.36825534,0.24825477,0.16751341,0.5075967
276,4,0,2.0726271,290.26548,21.66656,0.013926925,0.0020439505,-0.014782419,-0.020142027,-0.1482346,0.014199485,0.43831384,0.22233682,0.19306796,0.46136087
276,4,5,2.4032475,288.9114,21.693637,-0.00100486,0.00084837342,-0.0054939267,-0.0056445299,-0.0093590865,0.0045324703,0.19339997,0.12767126,0.12092304,0.20601487
276,4,10,2.1757455,284.94483,21.656969,0.0042322351,0.0017736031,-0.02230502,-0.0062573786,-0.023923074,0.012520298,0.20359994,0.2055394,0.10249436,0.21057449
276,4,15,2.0230734,300.07477,21.641693,0.0020431909,-0.010563104,-0.020136744,0.0040480437,-0.084549796,0.0030004884,0.35878507,0.29878193,0.19473436,0.39015836
276,4,20,2.2693389,294.59203,21.727313,0.0072868456,0.0066319629,-0.022695482,-0.0024643528,-0.081877542,-0.0028186928,0.34222605,0.25690622,0.16304036,0.42350032
276,4,25,3.3806656,294.78186,21.438229,0.027924929,-0.012338046,-0.070235324,-0.0054659284,-0.04449137,0.0080198361,0.43377663,0.37782863,0.2324579,0.30015651
276,4,30,3.6581942,282.29202,21.522819,-0.014091958,0.021312002,-0.064041081,0.023743937,-0.0897324,0.12112189,0.36095283,0.44462795,0.19420232,0.58385533
276,4,35,3.2505457,278.80343,21.887623,0.0026943818,0.013027864,-0.0049603221,0.0064382308,-0.013138162,0.069233989,0.21771248,0.3004958,0.15726969,0.54393408
276,4,40,3.025823,283.57097,21.362112,0.017975112,-0.010947621,-0.019183501,0.0051051714,-0.023185761,0.056335927,0.29643007,0.31536088,0.20374304,0.50827478
276,4,45,3.4987038,286.19265,21.325668,0.0046166496,0.039582327,-0.05163917,-0.015186332,-0.020337133,-0.0046538377,0.30808519,0.57471052,0.22872598,0.29549388
276,4,50,3.612515,247.96116,22.979148,0.021521579,0.017490296,0.0042234181,0.00061160305,0.051288881,0.017428798,0.35125182,0.29715099,0.23171672,0.37856087
276,4,55,3.1523054,245.97048,22.908589,-0.013931682,0.012232141,-0.030775209,-0.021114011,0.047101394,0.0072380334,0.41179792,0.31361955,0.27124399,0.30045725
276,5,0,3.4884991,249.51018,23.011319,-0.0087132748,0.0061890829,0.0031197156,-0.031375595,0.054212851,0.017116732,0.41578801,0.28701407,0.25337302,0.33179455
276,5,5,3.2270084,258.27616,22.296293,-0.011071621,-0.015676731,0.018713759,-0.030890323,0.070942971,0.064576144,0.38813309,0.32644862,0.21682671,0.43653884
276,5,10,3.2693467,251.69396,22.840122,0.017954433,0.0077592848,0.097386611,-0.05479442,0.13090129,0.084570897,0.55204875,0.41355899,0.3040067,0.51044942
276,5,15,3.1585626,243.05983,22.911424,-0.091873368,0.0043825421,-0.12420995,-0.058405945,0.20211752,0.025426246,0.97060254,0.43695518,0.34840578,0.42770522
276,5,20,3.0891159,240.96989,23.071677,0.01336461,-0.0054133312,-0.1797349,-0.015902647,0.074255473,-0.0067274302,0.80407155,0.45678222,0.29625515,0.26115741
276,5,25,2.856986,240.30981,23.027172,0.010957375,-0.0098115006,-0.11487513,-0.0017905616,0.038085124,-0.013588126,0.56737968,0.39599238,0.26693448,0.20412432
276,5,30,3.1756455,244.31388,22.991306,-0.016037175,0.0079145334,-0.059230252,-0.017533671,0.076429362,0.0052868435,0.54870332,0.35986427,0.28904193,0.2810591
276,5,35,3.3378068,243.70233,23.007098,0.0024559505,-0.00030082079,-0.038309808,-0.0075578121,0.044722746,0.0024899039,0.46245121,0.35379505,0.27861928,0.22032696
276,5,40,3.1263822,245.26745,22.816216,-0.016876261,0.0037405685,-0.062385095,-0.010154507,0.033524745,0.0054903513,0.48615222,0.35326374,0.27480229,0.24031482
276,5,45,3.097969,244.82953,22.722455,0.00011762255,-0.0010139637,-0.072945192,-0.018621625,0.025323569,0.019334112,0.48066453,0.39655419,0.32372908,0.2834132
276,5,50,3.182402,254.25036,22.625044,-0.0061799233,-0.012184034,-0.0093334321,-0.018713396,0.047392956,0.011378726,0.29921171,0.36539851,0.20099416,0.35496665
276,5,55,3.6910523,252.95571,22.855577,-0.02854946,0.010684,-0.042283298,-0.027411295,0.08659315,-0.0088867298,0.452649,0.36192511,0.2541468,0.37673043
276,6,0,3.1940952,248.95454,22.942141,-0.0069744329,0.019092762,-0.0642859,-0.022749325,0.058455835,-0.027901475,0.47894361,0.32766357,0.26640166,0.3493246
276,6,5,3.1328004,247.43146,23.146873,-0.014484163,0.0088906893,-0.074809569,-0.009332088,0.056151885,0.0030268335,0.55683038,0.38727594,0.27716639,0.29135811
276,6,10,2.8130965,245.43765,23.10854,0.0030719927,-0.00016781225,-0.07007683,-0.01356533,0.027843105,0.0087169615,0.49091901,0.36016186,0.27226676,0.29033016
276,6,15,2.7146162,244.3191,23.028763,0.013044288,-0.013767735,-0.080031123,-0.017253627,0.035325161,0.042107896,0.49219419,0.44519282,0.28363335,0.36161968
276,6,20,3.0256505,246.51654,23.202763,0.0035253738,-0.029868765,-0.13167269,-0.02240156,0.012722654,0.032114142,0.55612251,0.54386808,0.35612516,0.32066795
276,6,25,2.701543,256.74463,23.01025,0.019018538,0.043462489,0.052933453,0.0021799102,0.0672175,0.16197703,0.4324846,0.58946233,0.30073065,0.53102364
276,6,30,2.0531953,267.08521,22.591932,-0.016292038,0.0090135148,-0.062266276,-0.0035895024,-0.0046373072,0.11136522,0.37004115,0.44914548,0.17022834,0.46236035
276,6,35,2.393333,279.51651,22.0818,-0.0087028005,0.025616275,-0.055725945,0.010306704,-0.039708377,0.12849914,0.29586489,0.44079271,0.23741668,0.54839492
276,6,40,2.2236972,295.85731,22.210317,0.018791108,0.0032422003,0.0065999364,-0.0087027633,-0.024451395,0.0013912603,0.36755964,0.2039753,0.19743488,0.2118673
276,6,45,2.2658204,294.62874,21.977712,0.0032186354,0.010853992,-0.015937267,-0.016732429,-0.012550543,-0.015487027,0.32038435,0.27213307,0.19829036,0.30226971
276,6,50,2.1388055,289.95634,21.946854,-0.00016184051,0.0057704696,-0.075885632,-0.018364841,-0.056776592,0.053945362,0.33102292,0.3741338,0.18650411,0.46804641
276,6,55,2.0215389,295.12269,21.640735,0.0046612133,-0.010990588,-0.0062659128,-0.0065539256,-0.107919,0.022362006,0.35618761,0.33491281,0.20453191,0.55622468
276,7,0,2.1656295,302.14089,21.9974,0.0043058411,0.0050001177,-0.0099525252,-0.008232395,-0.033737282,-0.007505327,0.2853149,0.21179328,0.14440514,0.34373508
